# lat lon Nways
25.6 -68 0
25.6 -67.8 0
25.6 -67.6 0
25.6 -67.4 0
25.6 -67.2 0
25.6 -67 0
25.6 -66.8 0
25.6 -66.6 0
25.6 -66.4 0
25.6 -66.2 0
25.8 -125 0
25.8 -124.8 0
25.8 -124.6 0
25.8 -124.4 0
25.8 -124.2 0
25.8 -124 0
25.8 -123.8 0
25.8 -123.6 0
25.8 -123.4 0
25.8 -123.2 0
25.8 -123 0
25.8 -122.8 0
25.8 -122.6 0
25.8 -122.4 0
25.8 -122.2 0
25.8 -122 0
25.8 -121.8 0
25.8 -121.6 0
25.8 -121.4 0
25.8 -121.2 0
25.8 -121 0
25.8 -120.8 0
25.8 -120.6 0
25.8 -120.4 0
25.8 -120.2 0
25.8 -120 0
25.8 -119.8 0
25.8 -119.6 0
25.8 -119.4 0
25.8 -119.2 0
25.8 -119 0
25.8 -118.8 0
25.8 -118.6 0
25.8 -118.4 0
25.8 -118.2 0
25.8 -118 0
25.8 -117.8 0
25.8 -117.6 0
25.8 -117.4 0
25.8 -117.2 0
25.8 -117 0
25.8 -116.8 0
25.8 -116.6 0
25.8 -116.4 0
25.8 -116.2 0
25.8 -116 0
25.8 -115.8 0
25.8 -115.6 0
25.8 -115.4 0
25.8 -115.2 0
25.8 -115 0
25.8 -114.8 0
25.8 -114.6 0
25.8 -114.4 0
25.8 -114.2 0
25.8 -114 0
25.8 -113.8 0
25.8 -113.6 0
25.8 -113.4 0
25.8 -113.2 0
25.8 -113 0
25.8 -112.8 0
25.8 -112.6 0
25.8 -112.4 0
25.8 -112.2 1
25.8 -112 5
25.8 -111.8 0
25.8 -111.6 6
25.8 -111.4 24
25.8 -111.2 14
25.8 -111 0
25.8 -110.8 0
25.8 -110.6 0
25.8 -110.4 0
25.8 -110.2 0
25.8 -110 0
25.8 -109.8 0
25.8 -109.6 0
25.8 -109.4 133
25.8 -109.2 201
25.8 -109 4076
25.8 -108.8 340
25.8 -108.6 72
25.8 -108.4 552
25.8 -108.2 458
25.8 -108 139
25.8 -107.8 21
25.8 -107.6 47
25.8 -107.4 35
25.8 -107.2 14
25.8 -107 6
25.8 -106.8 14
25.8 -106.6 1
25.8 -106.4 3
25.8 -106.2 35
25.8 -106 15
25.8 -105.8 53
25.8 -105.6 2
25.8 -105.4 15
25.8 -105.2 14
25.8 -105 2
25.8 -104.8 86
25.8 -104.6 2
25.8 -104.4 16
25.8 -104.2 17
25.8 -104 10
25.8 -103.8 117
25.8 -103.6 422
25.8 -103.4 370
25.8 -103.2 1281
25.8 -103 755
25.8 -102.8 18
25.8 -102.6 0
25.8 -102.4 24
25.8 -102.2 60
25.8 -102 7
25.8 -101.8 2
25.8 -101.6 1
25.8 -101.4 16
25.8 -101.2 19
25.8 -101 3
25.8 -100.8 281
25.8 -100.6 1958
25.8 -100.4 13875
25.8 -100.2 16985
25.8 -100 754
25.8 -99.8 48
25.8 -99.6 144
25.8 -99.4 63
25.8 -99.2 284
25.8 -99 51
25.8 -98.8 21
25.8 -98.6 0
25.8 -98.4 8
25.8 -98.2 29
25.8 -98 11
25.8 -97.8 90
25.8 -97.6 3743
25.8 -97.4 3143
25.8 -97.2 28
25.8 -97 0
25.8 -96.8 0
25.8 -96.6 0
25.8 -96.4 0
25.8 -96.2 0
25.8 -96 0
25.8 -95.8 0
25.8 -95.6 0
25.8 -95.4 0
25.8 -95.2 0
25.8 -95 0
25.8 -94.8 0
25.8 -94.6 0
25.8 -94.4 0
25.8 -94.2 0
25.8 -94 0
25.8 -93.8 0
25.8 -93.6 0
25.8 -93.4 0
25.8 -93.2 0
25.8 -93 0
25.8 -92.8 0
25.8 -92.6 0
25.8 -92.4 0
25.8 -92.2 0
25.8 -92 0
25.8 -91.8 0
25.8 -91.6 0
25.8 -91.4 0
25.8 -91.2 0
25.8 -91 0
25.8 -90.8 0
25.8 -90.6 0
25.8 -90.4 0
25.8 -90.2 0
25.8 -90 0
25.8 -89.8 0
25.8 -89.6 0
25.8 -89.4 0
